DrawNo,DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6,Jackpot,TotalValue
430715,20151006,4,7,22,28,51,56,2736808884,168
430815,20151007,4,17,21,26,53,55,2749809014,176
430915,20151010,4,30,34,58,59,62,2764216121,247
431015,20151011,31,32,41,46,60,63,2778178427,273
431115,20151014,1,4,27,36,42,46,2792393271,156
431215,20151017,5,38,46,50,58,60,2806629565,257
431315,20151018,5,25,36,39,52,63,2820371436,220
431415,20151021,13,14,18,19,33,63,2834448928,160
431515,20151024,19,21,22,29,48,54,2848709961,193
431615,20151025,5,8,13,44,49,55,2862631726,174
431715,20151027,7,32,38,48,60,62,2875262559,247
431815,20151028,7,15,19,20,24,26,2888175316,111
431915,20151031,8,20,26,33,35,56,2903139980,178
432015,20151101,5,22,34,38,59,61,2917266807,219
432115,20151103,8,26,30,34,48,52,2928958845,198
432215,20151104,19,40,42,45,53,58,2942097685,257
432315,20151107,1,21,23,30,61,63,2956561921,199
432415,20151108,13,32,33,39,59,60,2970823526,236
432515,20151111,5,13,23,45,47,55,2985030862,188
432615,20151114,6,29,39,50,57,62,2999702376,243
432715,20151115,9,10,13,16,54,56,3013790307,158
432815,20151118,2,24,25,35,52,60,3028337054,198
432915,20151121,8,31,50,56,58,61,3043131691,264
433015,20151122,13,15,19,20,43,63,3057434980,173
433115,20151124,1,5,11,23,53,57,3069225044,150
433215,20151125,2,3,20,24,44,59,3082311761,152
433315,20151128,15,29,33,47,52,54,3096938874,230
433415,20151129,3,27,38,45,50,52,3111186179,215
433515,20151201,5,9,13,23,49,56,3123136117,155
433615,20151202,4,5,44,49,53,58,3136496893,213
433715,20151205,5,12,15,33,37,53,3151057296,155
433815,20151206,3,5,32,40,50,60,1513130332,190
433915,20151209,2,8,22,33,50,54,1525375637,169
434015,20151212,18,28,31,44,48,61,1537804554,230
434115,20151213,9,14,25,29,38,40,1549772224,155
434215,20151216,2,5,24,29,30,39,1561885397,129
434315,20151219,6,15,27,49,60,61,1574290933,218
434415,20151220,14,35,48,51,55,62,1587143130,265
434515,20151223,7,14,34,55,56,63,1600059748,229
434615,20151226,2,7,12,31,53,57,1612953486,162
434715,20151227,14,26,32,33,55,60,1625356520,220
434815,20151229,7,13,30,44,53,59,1636390186,206
434915,20151230,16,23,26,34,37,61,1648612897,197
435016,20160102,8,14,20,40,60,62,1662006778,204
435116,20160103,10,16,24,37,46,58,1674864766,191
435216,20160105,12,37,41,44,50,56,1685404939,240
435316,20160106,17,18,23,49,58,62,1697022116,227
435416,20160109,2,10,18,26,50,63,1709961257,169
435516,20160110,10,16,36,44,62,63,1723094520,231
435616,20160113,7,29,37,40,61,62,1736302000,236
435716,20160116,3,6,15,23,28,43,1750168782,118
435816,20160117,21,23,28,37,38,46,1763683140,193
435916,20160120,21,23,34,43,44,57,1777265924,222
436016,20160123,14,23,26,51,57,59,1791231447,230
436116,20160124,2,4,17,31,37,39,1804834537,130
436216,20160126,5,9,34,38,42,49,1816235784,177
436316,20160127,2,9,36,39,43,58,1828855248,187
436416,20160130,6,24,27,37,39,44,1843008387,177
436516,20160131,8,13,17,23,46,63,1856915781,170
436616,20160203,25,28,36,45,50,60,1871033242,244
436716,20160206,1,28,41,48,56,59,1887010418,233
436816,20160207,1,22,28,37,43,53,1903340947,184
436916,20160209,16,23,28,36,40,62,1917006671,205
437016,20160210,8,15,36,45,51,53,1931707572,208
437116,20160213,4,11,19,32,41,58,1947042678,165
437216,20160214,8,29,31,34,54,55,1961814864,211
437316,20160216,21,38,40,52,60,61,1973769521,272
437416,20160217,5,18,21,42,45,47,1986786454,178
437516,20160220,10,15,20,22,30,32,2001215583,129
437616,20160221,9,22,49,50,61,62,2015918772,253
437716,20160223,23,32,33,44,48,62,2027482038,242
437816,20160224,15,24,25,45,52,58,2040236351,219
437916,20160227,8,17,30,34,60,62,2054431961,211
438016,20160228,23,36,50,54,56,60,2068469699,279
438116,20160301,4,24,39,57,58,61,2079939801,243
438216,20160302,5,8,22,56,58,62,2092545609,211
438316,20160305,5,8,13,29,43,52,2106887294,150
438416,20160306,10,12,13,14,30,49,2121050014,128
438516,20160309,24,31,34,40,44,49,2134987438,222
438616,20160312,19,20,44,46,51,62,2149550701,242
438716,20160313,3,12,34,39,52,60,2163540892,200
438816,20160316,18,19,30,35,49,50,2177597578,201
438916,20160319,13,17,18,30,60,61,2192065317,199
439016,20160320,9,37,42,56,59,62,2206091115,265
439116,20160323,9,25,33,40,46,49,2220333844,202
439216,20160326,18,20,25,32,37,62,2235059055,194
439316,20160327,1,13,19,24,56,63,2249225350,176
439416,20160329,13,21,33,43,53,56,2261177648,219
439516,20160330,11,13,26,36,47,62,2274299686,195
439616,20160402,20,21,26,44,55,62,2289175047,228
439716,20160403,1,6,15,22,54,57,2303754183,155
439816,20160405,5,15,21,33,35,58,2315698902,167
439916,20160406,27,29,38,42,44,51,2329085704,231
440016,20160409,15,16,22,27,29,56,2343839014,165
440116,20160410,12,30,34,39,41,58,2358326058,214
440216,20160413,3,10,32,44,47,48,2372443733,184
440316,20160416,13,23,24,36,40,50,2386825458,186
440416,20160417,5,14,19,21,37,41,2401090852,137
440516,20160420,13,24,27,37,51,62,2415306268,214
440616,20160423,8,12,13,36,44,58,2429984146,171
440716,20160424,2,12,13,32,45,46,2444263626,150
440816,20160426,1,23,35,47,51,59,2455997920,216
440916,20160427,10,17,21,34,38,52,2469123461,172
441016,20160430,5,7,8,13,18,42,2483596706,93
441116,20160501,10,11,25,27,35,62,2497680419,170
441216,20160503,6,12,25,34,37,59,2509356584,173
441316,20160504,2,10,22,38,41,55,2522321679,168
441416,20160507,2,6,14,33,43,54,2536688174,152
441516,20160508,3,4,8,9,30,44,2550931046,98
441616,20160511,13,27,43,49,57,62,2565239269,251
441716,20160514,1,3,50,53,57,61,2579901989,225
441816,20160515,9,10,20,38,47,56,2594110827,180
441916,20160518,4,6,17,35,41,46,2608549180,149
442016,20160521,33,39,40,44,48,53,2623512915,257
442116,20160522,3,9,20,28,36,63,2638320851,159
442216,20160525,20,22,30,38,54,58,2653045561,222
442316,20160528,3,13,22,31,46,50,2667999071,165
442416,20160529,2,5,15,27,40,50,2683306006,139
442516,20160531,4,10,16,17,26,49,2696229703,122
442616,20160601,6,23,29,31,53,54,2710031062,196
442716,20160604,25,27,35,37,42,62,2725632005,228
442816,20160605,8,10,30,36,47,59,2741385171,190
442916,20160608,18,28,31,36,38,55,2757126897,206
443016,20160611,8,12,23,26,27,54,2773146329,150
443116,20160612,23,26,27,34,39,61,2789019186,210
443216,20160615,8,11,23,35,46,51,2804799880,174
443316,20160618,12,24,26,28,34,44,2820886236,168
443416,20160619,12,21,32,43,57,60,2836621813,225
443516,20160622,6,20,26,38,60,61,2852797687,211
443616,20160625,12,26,32,40,47,59,2869108196,216
443716,20160626,17,28,36,51,59,62,2885062349,253
443816,20160629,6,9,21,26,31,37,2900936779,130
443916,20160702,20,26,32,39,41,46,2917583195,204
444016,20160703,8,19,40,55,60,62,2933922518,244
444116,20160706,5,10,19,37,58,61,2950742464,190
444216,20160709,17,23,26,45,55,61,2967543820,227
444316,20160710,16,18,21,22,25,53,2983944991,155
444416,20160712,23,29,33,35,52,54,2997645178,226
444516,20160713,2,9,16,19,23,37,3012744477,106
444616,20160716,4,14,27,47,49,58,3029720150,199
444716,20160717,6,9,17,39,48,58,3046531159,177
444816,20160720,23,30,31,33,43,55,3063327868,215
444916,20160723,7,12,15,35,44,61,3080749201,174
445016,20160724,1,20,41,44,57,60,3097843993,223
445116,20160727,1,4,19,24,48,63,3115093940,159
445216,20160730,12,25,45,53,59,63,3132726984,257
445316,20160731,36,47,53,55,60,62,3150353736,313
445416,20160803,6,35,40,50,56,58,3167895904,245
445516,20160806,5,16,20,40,52,53,3186053758,186
445616,20160807,5,33,34,38,53,54,3203801774,217
445716,20160809,29,34,36,54,56,62,3218165552,271
445816,20160810,22,32,36,41,43,54,3234027970,228
445916,20160813,21,23,31,43,46,50,3251713281,214
446016,20160814,4,15,22,57,58,60,3269228207,216
446116,20160817,12,29,32,35,61,63,3286612360,232
446216,20160820,14,29,36,39,49,59,3304435380,226
446316,20160821,23,24,25,34,36,62,3322098812,204
446416,20160824,27,28,29,47,54,63,3339546028,248
446516,20160827,5,13,21,26,51,56,3357819784,172
446616,20160828,35,45,49,51,52,53,3375606410,285
446716,20160830,9,12,21,29,45,55,1511644276,171
446816,20160831,4,9,31,43,57,63,1524142619,207
446916,20160903,10,19,29,30,32,35,1536698806,155
447016,20160904,17,33,42,44,51,57,1548799037,244
447116,20160906,21,33,36,52,59,60,1558589461,261
447216,20160907,8,25,26,33,37,46,1569794369,175
447316,20160910,3,7,18,27,30,58,1582050899,143
447416,20160911,9,14,28,42,44,53,1594081132,190
447516,20160914,1,6,25,30,47,61,1605728625,170
447616,20160917,11,14,16,49,57,62,1617787958,209
447716,20160918,2,7,10,13,19,43,1629381540,94
447816,20160921,1,22,26,48,52,55,1640922999,204
447916,20160924,11,30,47,55,58,63,1652916767,264
448016,20160925,17,27,32,39,55,56,1664606374,226
448116,20160927,9,24,41,50,51,63,1674190663,238
448216,20160928,1,8,26,32,54,57,1684940402,178
448316,20161001,4,7,15,17,35,40,1696792743,118
448416,20161002,14,23,33,41,58,62,1708408562,231
448516,20161004,3,4,6,39,50,54,1717904978,156
448616,20161005,12,26,28,31,38,45,1730007211,180
448716,20161008,3,18,19,29,39,44,1744575408,152
448816,20161009,3,13,24,32,35,62,1758976867,169
448916,20161012,39,41,45,50,52,57,1773418080,284
449016,20161015,18,33,40,51,58,59,1788342561,259
449116,20161016,12,13,14,15,46,47,1802915548,147
449216,20161019,18,35,52,54,61,62,1817960364,282
449316,20161022,7,21,24,35,48,55,1833359534,190
449416,20161023,23,35,37,39,46,61,1848399202,241
449516,20161025,5,11,17,28,58,61,1860407055,180
449616,20161026,12,17,22,38,42,51,1873836185,182
449716,20161029,24,35,37,45,53,63,1888655132,257
449816,20161030,4,5,6,7,47,54,1903153902,123
449916,20161101,7,11,25,31,40,46,1915478000,160
450016,20161102,13,17,27,38,43,54,1929102468,192
450116,20161105,13,19,31,36,41,48,1944145282,188
450216,20161106,12,27,31,33,42,47,1959080131,192
450316,20161109,8,19,42,46,52,63,1973317283,230
450416,20161112,1,6,26,45,46,55,1988088397,179
450516,20161113,18,19,26,32,46,61,2002352790,202
450616,20161116,1,9,12,14,46,57,2016982691,139
450716,20161119,3,19,26,33,40,41,2031667433,162
450816,20161120,9,36,50,56,59,63,2045930468,273
450916,20161123,9,19,33,46,48,58,2060163258,213
451016,20161126,2,11,18,30,31,46,2074848858,138
451116,20161127,3,11,28,36,51,57,2089229939,186
451216,20161129,1,2,30,39,58,63,2101220704,193
451316,20161130,7,27,32,33,34,49,2114423036,182
451416,20161203,2,6,44,45,57,58,2129212525,212
451516,20161204,13,19,27,29,48,56,2143642441,192
451616,20161206,14,19,38,43,44,60,2155192051,218
451716,20161207,20,27,28,47,58,63,2168202906,243
451816,20161210,10,22,29,44,46,61,2182416248,212
451916,20161211,5,10,14,28,43,51,2196242203,151
452016,20161214,1,26,48,55,56,58,2210128147,244
452116,20161217,4,26,33,38,53,57,2224308456,211
452216,20161218,18,24,25,34,39,54,2238187822,194
452316,20161221,1,5,37,44,46,57,2252345752,190
452416,20161224,1,10,13,19,51,62,2266929107,156
452516,20161225,9,10,12,33,34,39,2280871393,137
452616,20161227,6,16,17,40,45,51,2292633143,175
452716,20161228,17,25,26,44,49,58,2305573785,219
452816,20161231,17,18,32,33,39,50,2321048173,189
452917,20170101,14,37,39,40,42,56,2335789042,228
453017,20170103,5,8,22,32,34,42,2347565307,143
453117,20170104,12,19,37,38,50,63,2360709653,219
453217,20170107,3,13,18,31,34,47,2378504573,146
453317,20170108,3,11,36,40,46,50,2396521644,186
453417,20170111,7,16,26,48,62,63,2415091982,222
453517,20170114,11,13,26,29,35,57,2434714943,171
453617,20170115,1,4,9,24,40,44,2453706416,122
453717,20170117,3,32,49,53,55,63,2468901024,255
453817,20170118,7,13,22,29,58,59,2486334011,188
453917,20170121,7,14,36,41,47,49,2509539193,194
454017,20170122,9,20,22,40,47,55,2532117463,193
454117,20170124,6,11,25,32,45,60,2550252080,179
454217,20170125,17,35,42,47,55,63,2571690211,259
454317,20170128,13,34,35,38,39,62,2599936715,221
454417,20170129,30,36,46,58,60,63,2626921745,293
454517,20170131,2,12,29,40,44,57,2650228457,184
454617,20170201,19,32,36,51,55,62,2674751742,255
